Location,Detail
RAM 5,Mason Crosby 24 yard field goal good
GNB 19,Matt Gay 37 yard field goal good
RAM 1,"Aaron Rodgers pass complete short right to Davante Adams for 1 yard, touchdown"
RAM 15,Mason Crosby kicks extra point good
RAM 1,"Aaron Rodgers right end for 1 yard, touchdown"
GNB 4,"Jared Goff pass complete short left to Van Jefferson for 4 yards, touchdown"
GNB 15,Matt Gay kicks extra point good
RAM 21,Mason Crosby 39 yard field goal good
RAM 1,"Aaron Jones left guard for 1 yard, touchdown"
GNB 7,"Cam Akers right guard for 7 yards, touchdown"
GNB 2,"Two Point Attempt: Jared Goff pass complete to Cam Akers, conversion succeeds"
GNB 42,"Aaron Rodgers pass complete deep middle to Allen Lazard for 58 yards, touchdown"
RAM 15,Mason Crosby kicks extra point good
BUF 23,Justin Tucker 41 yard field goal no good
RAV 10,Tyler Bass 28 yard field goal good
RAV 25,Tyler Bass 43 yard field goal no good
BUF 28,Justin Tucker 46 yard field goal no good
BUF 16,Justin Tucker 34 yard field goal good
RAV 3,"Josh Allen pass complete short left to Stefon Diggs for 3 yards, touchdown"
RAV 15,Tyler Bass kicks extra point good
BUF 9,"Lamar Jackson pass short middle intended for Mark Andrews is intercepted by Taron Johnson at BUF-0 and returned for 101 yards, touchdown"
RAV 15,Tyler Bass kicks extra point good
RAV 26,Tyler Bass 44 yard field goal no good
CLE 1,"Patrick Mahomes right end for 1 yard, touchdown"
CLE 15,Harrison Butker kicks extra point no good wide left
KAN 28,Cody Parkey 46 yard field goal good
CLE 20,"Patrick Mahomes pass complete short left to Travis Kelce for 20 yards, touchdown"
CLE 15,Harrison Butker kicks extra point good
CLE 32,Harrison Butker 50 yard field goal good
CLE 10,Harrison Butker 28 yard field goal good
CLE 15,Harrison Butker 33 yard field goal no good
KAN 4,"Baker Mayfield pass complete short right to Jarvis Landry for 4 yards, touchdown"
KAN 15,Cody Parkey kicks extra point good
CLE 15,Harrison Butker 33 yard field goal good
KAN 3,"Kareem Hunt right guard for 3 yards, touchdown"
KAN 15,Cody Parkey kicks extra point good
TAM 5,Wil Lutz 23 yard field goal good
TAM 24,Wil Lutz 42 yard field goal good
NOR 8,Ryan Succop 26 yard field goal good
NOR 3,"Tom Brady pass complete short left to Mike Evans for 3 yards, touchdown"
NOR 15,Ryan Succop kicks extra point good
NOR 44,"Jameis Winston pass complete deep middle to Tre'Quan Smith for 56 yards, touchdown"
TAM 15,Wil Lutz kicks extra point good
NOR 19,Ryan Succop 37 yard field goal good
TAM 16,"Drew Brees pass complete deep right to Tre'Quan Smith for 16 yards, touchdown"
TAM 15,Wil Lutz kicks extra point good
NOR 6,"Tom Brady pass complete short middle to Leonard Fournette for 6 yards, touchdown"
NOR 15,Ryan Succop kicks extra point good
NOR 18,Ryan Succop 36 yard field goal good
NOR 1,"Tom Brady left guard for 1 yard, touchdown"
NOR 15,Ryan Succop kicks extra point good
