Player,Team,PassingCmp,PassingAtt,PassingYds,PassingTD,PassingInt,PassingSack,PassingYds.1,PassingLng,PassingRate,RushingAtt,RushingYds,RushingTD,RushingLng,ReceivingTgt,ReceivingRec,ReceivingYds,ReceivingTD,ReceivingLng,FumblesFmb,FumblesFL
Jared Goff,LAR,21,27,174,1,0,4,26,28,105.9,1,6,0,6,0,0,0,0,0,0,0
Cam Akers,LAR,0,0,0,0,0,0,0,0,,18,90,1,13,1,1,6,0,6,0,0
Josh Reynolds,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,65,0,28,0,0
Robert Woods,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,48,0,19,0,0
Van Jefferson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,46,1,16,0,0
Tyler Higbee,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,5,0,4,0,0
Malcolm Brown,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Gerald Everett,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Aaron Rodgers,GNB,23,36,296,2,0,0,0,58,108.1,4,-3,1,1,0,0,0,0,0,0,0
Aaron Jones,GNB,0,0,0,0,0,0,0,0,,14,99,1,60,2,1,14,0,14,0,0
Jamaal Williams,GNB,0,0,0,0,0,0,0,0,,12,65,0,11,0,0,0,0,0,0,0
AJ Dillon,GNB,0,0,0,0,0,0,0,0,,6,27,0,9,0,0,0,0,0,1,0
Allen Lazard,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,96,1,58,0,0
Davante Adams,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,10,9,66,1,21,0,0
Robert Tonyan,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,60,0,33,0,0
Marquez Valdes-Scantling,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,33,0,12,0,0
Equanimeous St. Brown,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,27,0,27,0,0
Lamar Jackson,BAL,14,24,162,0,1,3,24,31,61.5,9,34,0,15,0,0,0,0,0,1,0
Tyler Huntley,BAL,6,13,60,0,0,1,8,29,59.8,3,32,0,19,0,0,0,0,0,1,0
J.K. Dobbins,BAL,0,0,0,0,0,0,0,0,,10,42,0,13,5,3,51,0,31,0,0
Gus Edwards,BAL,0,0,0,0,0,0,0,0,,10,42,0,12,0,0,0,0,0,1,0
Marquise Brown,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,87,0,30,0,0
Mark Andrews,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,11,4,28,0,14,0,0
Willie Snead,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,25,0,9,0,0
Miles Boykin,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,20,0,11,0,0
Patrick Ricard,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Dez Bryant,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Justice Hill,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Josh Allen,BUF,23,37,206,1,0,2,18,21,86.1,7,3,0,6,0,0,0,0,0,1,0
Devin Singletary,BUF,0,0,0,0,0,0,0,0,,7,25,0,12,3,3,12,0,9,0,0
T.J. Yeldon,BUF,0,0,0,0,0,0,0,0,,2,4,0,3,0,0,0,0,0,0,0
Stefon Diggs,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,106,1,20,0,0
John Brown,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,62,0,21,0,0
Dawson Knox,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,18,0,14,0,0
Isaiah McKenzie,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,8,0,7,0,0
Gabriel Davis,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,0
Cole Beasley,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Baker Mayfield,CLE,23,37,204,1,1,1,8,27,74.6,3,11,0,6,1,1,-8,0,-8,0,0
Nick Chubb,CLE,0,0,0,0,0,0,0,0,,13,69,0,23,5,2,4,0,4,0,0
Kareem Hunt,CLE,0,0,0,0,0,0,0,0,,6,32,1,10,1,1,2,0,2,0,0
Rashard Higgins,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,88,0,25,1,1
David Njoku,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,59,0,27,0,0
Donovan Peoples-Jones,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,23,0,23,0,0
Jarvis Landry,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,20,1,7,0,0
Austin Hooper,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,16,0,11,0,0
Harrison Bryant,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Patrick Mahomes,KAN,21,30,255,1,0,0,0,42,106.9,3,14,1,13,0,0,0,0,0,0,0
Chad Henne,KAN,6,8,66,0,1,1,6,24,59.4,2,12,0,13,0,0,0,0,0,0,0
Darrel Williams,KAN,0,0,0,0,0,0,0,0,,13,78,0,16,4,4,16,0,9,0,0
Tyreek Hill,KAN,0,0,0,0,0,0,0,0,,3,9,0,4,10,8,110,0,26,0,0
Le'Veon Bell,KAN,0,0,0,0,0,0,0,0,,2,6,0,4,3,0,0,0,0,0,0
Mecole Hardman,KAN,0,0,0,0,0,0,0,0,,1,4,0,4,4,4,58,0,42,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,109,1,24,0,0
Byron Pringle,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,14,0,11,0,0
Demarcus Robinson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,14,0,14,0,0
Tom Brady,TAM,18,33,199,2,0,1,10,29,92.9,5,2,1,2,0,0,0,0,0,1,0
Leonard Fournette,TAM,0,0,0,0,0,0,0,0,,17,63,0,8,6,5,44,1,14,0,0
Ronald Jones II,TAM,0,0,0,0,0,0,0,0,,13,62,0,12,1,0,0,0,0,0,0
Cameron Brate,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,50,0,19,0,0
Chris Godwin,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,34,0,13,0,0
Scott Miller,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,29,0,29,0,0
Tyler Johnson,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0
Rob Gronkowski,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,14,0,14,0,0
Antonio Brown,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,10,0,10,0,0
Mike Evans,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,3,1,3,0,0
Drew Brees,NOR,19,34,134,1,3,0,0,16,38.1,2,3,0,2,0,0,0,0,0,0,0
Jameis Winston,NOR,1,1,56,1,0,0,0,56,158.3,0,0,0,0,0,0,0,0,0,0,0
Alvin Kamara,NOR,0,0,0,0,0,0,0,0,,18,85,0,17,6,3,20,0,9,0,0
Ty Montgomery,NOR,0,0,0,0,0,0,0,0,,4,14,0,5,1,1,13,0,13,0,0
Dwayne Washington,NOR,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Tre'Quan Smith,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,85,2,56,0,0
Emmanuel Sanders,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,48,0,16,0,0
Jared Cook,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,28,0,8,1,1
Marquez Callaway,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Michael Thomas,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,0
Michael Burton,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Deonte Harris,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-1,0,-1,0,0
Josh Hill,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-3,0,-3,0,0
